"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.656070292	0.39153	0.338948	0	0	15:44:46.775	
0.656082034	0.404323	0.331564	0	0	15:44:47.775	
0.656093597	0.404323	0.310139	0	0	15:44:48.788	
0.65610522	0.404323	0.268275	0	0	15:44:49.804	
0.656116962	0.404323	0.260522	0	0	15:44:50.818	
0.656128585	0.371957	0.270123	0	0	15:44:51.820	
0.656140447	0.243636	0.306265	0	0	15:44:52.834	
0.656151831	0.151077	0.335098	0	0	15:44:53.837	
0.656163573	0.119318	0.345287	0	0	15:44:54.852	
0.656175375	0.132206	0.345474	0	0	15:44:55.866	
0.656186819	0.196637	0.345474	0	0	15:44:56.876	
0.65619868	0.281166	0.345474	0	0	15:44:57.884	
0.656210124	0.380356	0.344662	0	0	15:44:58.894	
0.656222045	0.393194	0.337772	0	0	15:44:59.907	
0.65623349	0.393194	0.312048	0	0	15:45:00.921	
0.656245351	0.393194	0.283036	0	0	15:45:01.927	
0.656256914	0.393194	0.267183	0	0	15:45:02.937	
0.656268656	0.36033	0.27955	0	0	15:45:03.938	
0.656280339	0.219388	0.316852	0	0	15:45:04.951	
0.6562922	0.143208	0.342533	0	0	15:45:05.967	
0.656303823	0.115235	0.350235	0	0	15:45:06.972	
0.656315684	0.14549	0.350235	0	0	15:45:07.979	
0.656327128	0.220673	0.350235	0	0	15:45:08.995	
0.656339049	0.332195	0.350235	0	0	15:45:10.8	
0.656350613	0.374722	0.349101	0	0	15:45:11.17	
0.656362355	0.378623	0.338052	0	0	15:45:12.30	
0.656373918	0.378623	0.314045	0	0	15:45:13.36	
0.656385303	0.378623	0.273638	0	0	15:45:14.37	
0.656397104	0.378623	0.273576	0	0	15:45:15.51	
0.656408727	0.348621	0.283944	0	0	15:45:16.53	
0.656420588	0.205341	0.324936	0	0	15:45:17.65	
0.656432033	0.141405	0.350459	0	0	15:45:18.71	
0.656443894	0.114321	0.356676	0	0	15:45:19.72	
0.656455576	0.145524	0.356676	0	0	15:45:20.73	
0.656467438	0.208031	0.356676	0	0	15:45:21.86	
0.656479001	0.302837	0.356676	0	0	15:45:22.95	
0.656490564	0.361058	0.355668	0	0	15:45:23.106	
0.656502306	0.370133	0.345007	0	0	15:45:24.121	
0.656513929	0.370133	0.317356	0	0	15:45:25.134	
0.656525671	0.370133	0.284405	0	0	15:45:26.149	
0.656537235	0.369318	0.277083	0	0	15:45:27.151	
0.656548977	0.30596	0.290784	0	0	15:45:28.163	
0.6565606	0.183133	0.334145	0	0	15:45:29.171	
0.656572521	0.137701	0.357205	0	0	15:45:30.187	
0.656583965	0.116841	0.361143	0	0	15:45:31.198	
0.656595826	0.161029	0.361157	0	0	15:45:32.211	
0.656607389	0.253027	0.361157	0	0	15:45:33.211	
0.656619132	0.348411	0.361157	0	0	15:45:34.225	
0.656630933	0.382868	0.360255	0	0	15:45:35.239	
0.656642377	0.388375	0.344732	0	0	15:45:36.252	
0.656654239	0.388375	0.312271	0	0	15:45:37.265	
0.656665802	0.388375	0.277573	0	0	15:45:38.267	
0.656677544	0.382651	0.282024	0	0	15:45:39.282	
0.656689167	0.298151	0.299922	0	0	15:45:40.286	
0.656700909	0.180393	0.343171	0	0	15:45:41.297	
0.656712472	0.135416	0.363538	0	0	15:45:42.309	
