"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.631461143	1.03574	620.868	593.313	0	0	15:09:20.994	
0.631473064	1.0198	626.998	592.744	0	0	15:09:21.991	
0.631484449	1.0047	632.809	592.112	0	0	15:09:22.988	
0.631496191	0.99575	636.25	591.137	0	0	15:09:23.999	
0.631507933	0.994823	636.607	590.513	0	0	15:09:25.12	
0.631519556	0.985109	640.343	590.095	0	0	15:09:26.28	
0.631531477	0.973816	644.686	590.38	0	0	15:09:27.40	
0.63154304	0.965238	647.986	591.038	0	0	15:09:28.31	
0.631554782	0.95622	652.315	591.225	0	0	15:09:29.40	
0.631566346	0.956568	652.102	591.281	0	0	15:09:30.35	
0.631578088	1.00116	634.168	589.63	0	0	15:09:31.48	
0.631589532	1.0108	630.462	589.326	0	0	15:09:32.61	
0.631601453	1.01408	629.199	589.062	0	0	15:09:33.74	
0.631613076	1.03098	622.701	588.826	0	0	15:09:34.87	
0.631624937	1.04968	615.507	588.213	0	0	15:09:35.79	
0.631636381	1.0649	609.654	587.872	0	0	15:09:36.93	
0.631648242	1.08019	603.775	587.991	0	0	15:09:37.99	
0.631659865	1.07052	607.493	588.481	0	0	15:09:38.107	
0.631671607	1.077	605.001	588.189	0	0	15:09:39.119	
0.63168335	1.08056	603.632	588.572	0	0	15:09:40.118	
0.631694794	1.07741	604.844	588.906	0	0	15:09:41.109	
0.631706655	1.0772	604.922	589.097	0	0	15:09:42.123	
0.631718338	1.07972	603.954	589.322	0	0	15:09:43.129	
0.631730199	1.0798	603.922	589.155	0	0	15:09:44.135	
0.631741583	1.08005	603.827	589.045	0	0	15:09:45.131	
0.631753325	1.07282	606.609	589.196	0	0	15:09:46.141	
0.63176477	1.06354	610.175	589.976	0	0	15:09:47.148	
0.63177669	1.05408	613.813	590.729	0	0	15:09:48.151	
0.631788254	1.05153	614.797	591.415	0	0	15:09:49.143	
0.631799817	1.0437	617.807	591.817	0	0	15:09:50.154	
0.631811559	1.03779	620.082	592.306	0	0	15:09:51.164	
0.631823182	1.04365	617.828	593.466	0	0	15:09:52.159	
0.631834924	1.04938	615.625	594.057	0	0	15:09:53.167	
0.631846547	1.05629	612.966	593.954	0	0	15:09:54.183	
0.631858408	1.07002	607.684	595.627	0	0	15:09:55.192	
0.631869793	1.07547	605.587	595.817	0	0	15:09:56.199	
0.631881595	1.10644	595.972	594.908	0	0	15:09:57.210	
0.631893337	1.11537	593.785	595.725	0	0	15:09:58.217	
0.631904781	1.11091	594.877	595.45	0	0	15:09:59.235	
